date,Current_Stress
1/1/2008,0.31094026
1/2/2008,2.17487297
1/3/2008,2.848452065
1/4/2008,0.418832241
1/5/2008,0.211925006
1/6/2008,0.175005082
1/7/2008,0.17132971
1/8/2008,0.125885661
1/9/2008,0.083356883
1/10/2008,0.111827078
1/11/2008,0.143991489
1/12/2008,0.081206517
1/13/2008,0.121604488
1/14/2008,0.655824521
1/15/2008,0.710301432
1/16/2008,0.639480716
1/17/2008,0.345165496
1/18/2008,0.101653414
1/19/2008,0.236522077
1/20/2008,2.236444318
1/21/2008,0.873380504
1/22/2008,0.219899497
1/23/2008,0.041308862
1/24/2008,0.162057129
1/25/2008,0.876558937
1/26/2008,0.114133863
1/27/2008,0.606035566
1/28/2008,0.29341196
1/29/2008,0.200873027
1/30/2008,0.152426927
1/31/2008,0.152207098
2/1/2008,0.180179826
2/2/2008,0.153528877
2/3/2008,0.09032696
2/4/2008,0.130053258
2/5/2008,0.327348313
2/6/2008,0.461638463
2/7/2008,0.461210576
2/8/2008,0.198421918
2/9/2008,0.090245938
2/10/2008,1.105575316
2/11/2008,0.772491918
2/12/2008,0.486652649
2/13/2008,0.861997769
2/14/2008,0.404072596
2/15/2008,0.228609485
2/16/2008,0.230994507
2/17/2008,0.336450045
2/18/2008,0.48687372
2/19/2008,0.545040813
2/20/2008,0.480049117
2/21/2008,0.323543002
2/22/2008,0.34230477
2/23/2008,0.51179725
2/24/2008,0.2298703
2/25/2008,0.164346725
2/26/2008,0.587491135
2/27/2008,1.233225368
2/28/2008,0.758455494
2/29/2008,0.466792093
3/1/2008,0.245471095
3/2/2008,0.339813468
3/3/2008,0.417221008
3/4/2008,0.372316313
3/5/2008,0.231135263
3/6/2008,0.19369996
3/7/2008,0.85352181
3/8/2008,1.89356072
3/9/2008,0.890951263
3/10/2008,0.445968002
3/11/2008,0.129752936
3/12/2008,0.378351657
3/13/2008,0.319764588
3/14/2008,0.164231794
3/15/2008,0.47024734
3/16/2008,0.379869726
3/17/2008,1.012821037
3/18/2008,1.094935266
3/19/2008,0.933024859
3/20/2008,0.993432855
3/21/2008,0.678105499
3/22/2008,0.151001376
3/23/2008,0.177521125
3/24/2008,0.778092305
3/25/2008,1.188029223
3/26/2008,0.356022195
3/27/2008,0.204910713
3/28/2008,0.18779897
3/29/2008,0.154303026
3/30/2008,0.21976287
3/31/2008,0.604518691
4/1/2008,0.384637564
4/2/2008,0.191930876
4/3/2008,0.487980002
4/4/2008,0.861053414
4/5/2008,0.794446201
4/6/2008,0.629071481
4/7/2008,0.377594009
4/8/2008,0.43165355
4/9/2008,0.632962561
4/10/2008,0.299954319
4/11/2008,0.302761226
4/12/2008,0.167933156
4/13/2008,0.338749143
4/14/2008,0.720394882
4/15/2008,1.073848703
4/16/2008,1.24746852
4/17/2008,0.528141947
4/18/2008,0.18954538
4/19/2008,0.182372569
4/20/2008,0.164461702
