date,ShearStress
1/1/2008,14.52667744
1/2/2008,19.24310962
1/3/2008,19.82426084
1/4/2008,15.45085663
1/5/2008,13.19475291
1/6/2008,12.42714725
1/7/2008,12.33530592
1/8/2008,10.94874223
1/9/2008,8.899255469
1/10/2008,10.37815069
1/11/2008,11.57377862
1/12/2008,8.765872344
1/13/2008,10.78375419
1/14/2008,16.62500022
1/15/2008,16.82008974
1/16/2008,16.56407516
1/17/2008,14.88189243
1/18/2008,9.92651253
1/19/2008,13.61593571
1/20/2008,19.31026714
1/21/2008,17.29484386
1/22/2008,13.33829773
1/23/2008,5.413913995
1/24/2008,12.10216911
1/25/2008,17.30525959
1/26/2008,10.48992222
1/27/2008,16.43216574
1/28/2008,14.3715448
1/29/2008,13.00203166
1/30/2008,11.84914455
1/31/2008,11.84209227
2/1/2008,12.56735931
2/2/2008,11.89024245
2/3/2008,9.345237638
2/4/2008,11.13284438
2/5/2008,14.7245447
2/6/2008,15.72973526
2/7/2008,15.72957561
2/8/2008,12.97144832
2/9/2008,9.357373616
2/10/2008,17.83289592
2/11/2008,17.02647349
2/12/2008,15.8768132
2/13/2008,17.26888007
2/14/2008,15.34881256
2/15/2008,13.48444753
2/16/2008,13.52101473
2/17/2008,14.79477826
2/18/2008,15.86092861
2/19/2008,16.16056263
2/20/2008,15.82666613
2/21/2008,14.6748047
2/22/2008,14.84859295
2/23/2008,15.99366303
2/24/2008,13.50390188
2/25/2008,12.15764797
2/26/2008,16.34797477
2/27/2008,18.06197521
2/28/2008,16.97630138
2/29/2008,15.75754109
3/1/2008,13.75891439
3/2/2008,14.83912012
3/3/2008,15.44448151
3/4/2008,15.11462014
3/5/2008,13.53846402
3/6/2008,12.84675881
3/7/2008,17.23506465
3/8/2008,18.96174442
3/9/2008,17.33915289
3/10/2008,15.62184182
3/11/2008,11.08195108
3/12/2008,15.14709316
3/13/2008,14.63147877
3/14/2008,12.1426088
3/15/2008,15.76070335
3/16/2008,15.15522468
3/17/2008,17.61376842
3/18/2008,17.78495191
3/19/2008,17.43329606
3/20/2008,17.57717571
3/21/2008,16.69720718
3/22/2008,11.7745742
3/23/2008,12.44560879
3/24/2008,17.01573883
3/25/2008,17.96451305
3/26/2008,14.95385571
3/27/2008,13.03438945
3/28/2008,12.68311929
3/29/2008,11.84347819
3/30/2008,13.30345973
3/31/2008,16.40127004
4/1/2008,15.17907729
4/2/2008,12.7616732
4/3/2008,15.84305108
4/4/2008,17.23727816
4/5/2008,17.05415358
4/6/2008,16.4929186
4/7/2008,15.09183308
4/8/2008,15.47873337
4/9/2008,16.48759039
4/10/2008,14.35314091
4/11/2008,14.38265718
4/12/2008,12.12999224
4/13/2008,14.75336401
4/14/2008,16.80686175
4/15/2008,17.72023699
4/16/2008,18.04438996
4/17/2008,16.04111019
4/18/2008,12.66787019
4/19/2008,12.50638457
4/20/2008,12.06732507
4/21/2008,13.53242873
4/22/2008,14.42429098
4/23/2008,15.55709056
4/24/2008,16.41498572
4/25/2008,15.61172975
4/26/2008,14.317857
4/27/2008,15.00773055
4/28/2008,15.98396828
4/29/2008,15.02339077
4/30/2008,15.98104897
5/1/2008,16.59909151
5/2/2008,16.20765557
5/3/2008,14.03972799
5/4/2008,12.21897364
5/5/2008,13.1920888
5/6/2008,13.17095527
5/7/2008,13.86620298
5/8/2008,15.28376434
5/9/2008,16.02564191
5/10/2008,14.04567018
5/11/2008,16.94284036
5/12/2008,17.86561949
5/13/2008,15.78487622
5/14/2008,16.41284769
5/15/2008,15.8795668
5/16/2008,14.12903939
5/17/2008,15.38999421
5/18/2008,16.01133768
5/19/2008,15.82580181
5/20/2008,16.49614062
5/21/2008,17.13154075
5/22/2008,13.52101528
5/23/2008,13.17595377
5/24/2008,12.81738978
