Date,SLTRIB_cfs
1/31/2008,17.3883871
2/29/2008,9.991034483
3/31/2008,35.47354839
4/30/2008,102.7163333
5/31/2008,4.312903226
6/30/2008,189.0283333
7/31/2008,615.4025806
8/31/2008,2342.543871
9/30/2008,634.3423333
10/31/2008,384.5070968
11/30/2008,117.151
12/31/2008,16.48548387
1/31/2009,12.25903226
2/28/2009,7.263571429
3/31/2009,4.392580645
4/30/2009,6.115666667
5/31/2009,151.7064516
6/30/2009,538.648
7/31/2009,613.5574194
8/31/2009,809.4690323
9/30/2009,789.7286667
10/31/2009,26.93870968
11/30/2009,10.89966667
12/31/2009,520.9954839
1/31/2010,72.80419355
2/28/2010,256.2757143
3/31/2010,622.8551613
4/30/2010,375.6276667
5/31/2010,118.99
6/30/2010,237.5503333
7/31/2010,39.20064516
8/31/2010,148.0512903
9/30/2010,226.47
10/31/2010,28.34548387
11/30/2010,9.327666667
12/31/2010,3.143870968
1/31/2011,6.619677419
2/28/2011,5.533571429
3/31/2011,4.248709677
4/30/2011,3.219333333
5/31/2011,0.78516129
6/30/2011,39.35166667
7/31/2011,501.8887097
8/31/2011,607.406129
9/30/2011,575.517
10/31/2011,1259.002581
11/30/2011,320.5003333
12/31/2011,111.16
1/31/2012,10.86774194
2/29/2012,9.46862069
3/31/2012,19.0716129
4/30/2012,7.210333333
5/31/2012,26.54483871
6/30/2012,225.662
7/31/2012,181.1506452
8/31/2012,1101.265484
9/30/2012,1097.611333
10/31/2012,784.816129
11/30/2012,135.6643333
12/31/2012,39.80258065
1/31/2013,24.58806452
2/28/2013,28.35714286
3/31/2013,8.628709677
4/30/2013,10.62
5/31/2013,174.1416129
6/30/2013,657.8323333
7/31/2013,1537.502258
8/31/2013,606.8551613
9/30/2013,1131.808
10/31/2013,114.2558065
11/30/2013,35.58233333
12/31/2013,84.56225806
1/31/2014,227.3870968
2/28/2014,269.3453571
3/31/2014,59.27387097
4/30/2014,47.192
5/31/2014,47.23870968
6/30/2014,553.0203333
7/31/2014,797.4312903
8/31/2014,550.8980645
9/30/2014,898.319
10/31/2014,479.8248387
11/30/2014,57.252
12/31/2014,21.50870968
1/31/2015,75.04225806
2/28/2015,109.4378571
3/31/2015,29.44935484
4/30/2015,103.931
5/31/2015,56.75096774
6/30/2015,10.53066667
7/31/2015,103.3854839
8/31/2015,358.8387097
9/30/2015,1201.600333
10/31/2015,133.7496774
11/30/2015,158.872
12/31/2015,417.0751613
1/31/2016,1164.429032
2/29/2016,773.3289655
3/31/2016,148.5545161
4/30/2016,147.5166667
5/31/2016,416.4274194
6/30/2016,719.8473333
7/31/2016,94.40064516
8/31/2016,291.4283871
9/30/2016,717.0153333
10/31/2016,626.13
11/30/2016,0.105
12/31/2016,0.006774194
1/31/2017,0.010645161
2/28/2017,0.294642857
3/31/2017,0.069032258
4/30/2017,0.011333333
5/31/2017,2.010967742
6/30/2017,917.0263333
7/31/2017,392.1312903
8/31/2017,605.3532258
9/30/2017,2319.319333
10/31/2017,2244.983226
11/30/2017,731.6643333
12/31/2017,309.2448387
1/31/2018,129.3012903
2/28/2018,14.65571429
3/31/2018,0
4/30/2018,0.081333333
5/31/2018,1331.374516
6/30/2018,895.547
7/31/2018,235.9322581
8/31/2018,209.0303226
9/30/2018,130.128
10/31/2018,14.16451613
11/30/2018,6.018
12/31/2018,5.809354839
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
