,date,Data_L001,Data_L004,Data_L005,Data_L006,Data_L007,Data_L008,Data_LZ40,Mean_OP,OP_N,OP_S
0,2008-01-01,0.0474285714285714,0.0558285714285714,0.0282647058823529,0.0532058823529411,,0.0608235294117647,0.0546764705882352,50.0379551820727,45.50560224089634,56.133613445378096
1,2008-01-02,0.0468571428571428,0.0554571428571428,0.0287058823529411,0.0528823529411764,,0.0605294117647058,0.0544705882352941,49.8170868347338,45.36414565826324,55.83487394957977
2,2008-01-03,0.0462857142857142,0.0550857142857142,0.0291470588235294,0.0525588235294117,,0.060235294117647,0.0542647058823529,49.5962184873949,45.2226890756302,55.53613445378145
3,2008-01-04,0.0457142857142857,0.0547142857142857,0.0295882352941176,0.052235294117647,,0.0599411764705882,0.0540588235294117,49.3753501400559,45.08123249299717,55.23739495798315
4,2008-01-05,0.0451428571428571,0.0543428571428571,0.0300294117647058,0.0519117647058823,,0.0596470588235294,0.0538529411764705,49.154481792717,44.9397759103641,54.93865546218482
5,2008-01-06,0.0445714285714285,0.0539714285714285,0.0304705882352941,0.0515882352941176,,0.0593529411764705,0.0536470588235294,48.9336134453781,44.798319327731036,54.6399159663865
6,2008-01-07,0.044,0.0535999999999999,0.0309117647058823,0.0512647058823529,,0.0590588235294117,0.0534411764705882,48.7127450980391,44.656862745097996,54.341176470588174
7,2008-01-08,0.0434285714285714,0.0532285714285714,0.0313529411764705,0.0509411764705882,,0.0587647058823529,0.053235294117647,48.4918767507002,44.51540616246493,54.04243697478987
8,2008-01-09,0.0428571428571428,0.0528571428571428,0.0317941176470588,0.0506176470588235,,0.0584705882352941,0.0530294117647058,48.2710084033612,44.3739495798319,53.74369747899155
9,2008-01-10,0.0422857142857142,0.0524857142857142,0.032235294117647,0.0502941176470588,,0.0581764705882352,0.0528235294117647,48.0501400560223,44.232492997198804,53.44495798319322
10,2008-01-11,0.0417142857142857,0.0521142857142857,0.0326764705882352,0.0499705882352941,,0.0578823529411764,0.0526176470588235,47.8292717086834,44.091036414565764,53.146218487394925
11,2008-01-12,0.0411428571428571,0.0517428571428571,0.0331176470588235,0.0496470588235294,,0.0575882352941176,0.0524117647058823,47.6084033613445,43.94957983193273,52.8474789915966
