date,Value,Data_L001,Data_L004,Data_L005,Data_L006,Data_L007,Data_L008,Data_LZ40,Mean_NO,Max,Min
2007-12-31,,0.17319999999999997,0.22529999999999994,0.017588235294117596,0.2812941176470588,,0.2307647058823529,0.26105882352941173,0.19886229946524062,0.2812941176470588,0.017588235294117596
2008-01-31,,0.16275296566077,0.17533652445369405,0.07042579646459597,0.28151678398726815,,0.2159648038195507,0.2479929301585358,0.19233163409073575,0.28151678398726815,0.07042579646459597
2008-02-29,,0.19616539745015824,0.2446354924274835,0.18468421052631576,0.20789003165910838,,0.20906742534439973,0.27683631385299906,0.21987981187674413,0.27683631385299906,0.18468421052631576
2008-03-31,,0.2139627061742811,0.21524127864545317,0.2719402424735168,0.29496161144358485,,0.10967752882790828,0.3136573492920741,0.23657345280946973,0.3136573492920741,0.10967752882790828
2008-04-30,,0.0927566242713301,0.09942560943296234,0.24999999999999997,0.2591149973502914,,0.054052000529941656,0.18987122416534177,0.15753674262497788,0.2591149973502914,0.054052000529941656
2008-05-31,,0.034207910797044876,0.10055988161336205,0.20434159114278197,0.20678135181021423,,0.19007259211673472,0.12684568439407146,0.14380150197903488,0.20678135181021423,0.034207910797044876
2008-06-30,,0.03299134502923972,0.04211447368421048,0.049828947368421014,0.08856035087719293,,0.04785321637426897,0.059899999999999995,0.05354138888888885,0.08856035087719293,0.03299134502923972
2008-07-31,,0.029596825396825354,0.01775652841781866,0.04492857142857139,0.14410476190476185,,0.019793650793650742,0.029450076804915494,0.047605069124423915,0.14410476190476185,0.01775652841781866
2008-08-31,,0.044128856023529645,0.07162719251241377,0.051571428571428525,0.21289523809523803,,0.034182093142333156,0.07122959311256381,0.08093906690958448,0.21289523809523803,0.034182093142333156
2008-09-30,,0.12690580821131206,0.2884078093597473,0.06430517241379305,0.2800650574712643,0.3297241379310345,0.14760778064886587,0.24407298306057995,0.19602395420260826,0.3297241379310345,0.06430517241379305
2008-10-31,,0.3242034771144893,0.3860119474313023,0.1773313146294236,0.3441184031640093,0.3788733984262349,0.31865447204713054,0.3116890783998681,0.3201260130303512,0.3860119474313023,0.1773313146294236
2008-11-30,,0.2276587438423645,0.3997142857142857,0.19592330246913575,0.46584259259259253,0.3615885802469136,0.38872512315270935,0.42311502463054185,0.3517953789497919,0.46584259259259253,0.19592330246913575
2008-12-31,,0.20486866359447,0.42411059907834103,0.23730126728110595,0.49419585253456216,0.449934331797235,0.4195990783410138,0.46026728110599074,0.38432529624753126,0.49419585253456216,0.20486866359447
2009-01-31,,0.24464723502304145,0.4071884792626728,0.3520910138248848,0.46859216589861746,0.4910783410138249,0.4101539170506912,0.35254331797235017,0.38947063857801184,0.4910783410138249,0.24464723502304145
2009-02-28,,0.38344697802197797,0.44290494505494504,0.19862908163265305,0.4710561224489796,0.4490331632653061,0.4124296703296703,0.4632318681318681,0.40296168984077146,0.4710561224489796,0.19862908163265305
2009-03-31,,0.18600203828429632,0.3965241049273307,0.011286943164362474,0.46174067046173306,0.43875797415740486,0.28040499822757886,0.4160997873094647,0.31297378807602444,0.46174067046173306,0.011286943164362474
2009-04-30,,0.09001607142857138,0.38712857142857143,0.0035714285714285167,0.46126540975364505,0.28571053293112114,0.20042857142857137,0.31694285714285714,0.24929477752639514,0.46126540975364505,0.0035714285714285167
2009-05-31,,0.055367511520737274,0.2482946130621325,0.006476190476190436,0.2735697783862411,0.1104626512496482,0.12292865088193226,0.19966121086921973,0.14525151520658594,0.2735697783862411,0.006476190476190436
2009-06-30,,0.04334821428571423,0.12079821200510851,0.009380952380952327,0.10064456233421745,0.06816881443298965,0.12343933588761172,0.18956066411238823,0.09362010791985459,0.18956066411238823,0.009380952380952327
2009-07-31,,0.029732142857142804,0.07216794674859187,0.012285714285714242,0.05582544605931698,0.043564432989690684,0.08969687660010237,0.11882846902201737,0.0603001469375109,0.11882846902201737,0.012285714285714242
2009-08-31,,0.01620737327188935,0.055332949308755715,0.015238095238095186,0.08448348694316433,0.02555318839374788,0.023476958525345572,0.09945737327188936,0.04567848927898391,0.09945737327188936,0.015238095238095186
2009-09-30,,0.021703373015872964,0.10623214285714283,0.018142857142857096,0.054677380952380915,0.06569553571428567,0.04489560439560435,0.09891071428571425,0.05860822976626544,0.10623214285714283,0.018142857142857096
2009-10-31,,0.12187301587301583,0.07134331797235019,0.021047619047619,0.19631105990783407,0.1484700460829493,0.0854505494505494,0.1859668202764977,0.11863748980154507,0.19631105990783407,0.021047619047619
2009-11-30,,0.21539451058201056,0.2487130952380952,0.020619047619047582,0.2893678571428571,0.16595,0.1290138278388278,0.28551523809523804,0.19351051093086805,0.2893678571428571,0.020619047619047582
2009-12-31,,0.18679919354838706,0.33911344086021505,0.043316129032258024,0.27894354838709673,0.22776774193548385,0.2271069892473118,0.2537118279569892,0.2223941244239631,0.33911344086021505,0.043316129032258024
2010-01-31,,0.2924560117302053,0.4321993157380254,0.21927789979409743,0.2628414550446122,0.3773997254632807,0.45075063538611926,0.3852934506353861,0.34574549911310376,0.45075063538611926,0.21927789979409743
2010-02-28,,0.30527954545454544,0.4500181818181818,0.20132446808510635,0.39142553191489365,0.39645744680851064,0.4725545454545454,0.4359454545454545,0.37900073915446253,0.4725545454545454,0.20132446808510635
2010-03-31,,0.27452308490093696,0.4578114584078392,0.16362499999999996,0.4586730769230769,0.43203846153846154,0.4608002288820542,0.4532092125026822,0.38581150330786446,0.4608002288820542,0.16362499999999996
