date,S_Chla
1/31/2008,15.35485707
2/29/2008,12.24208522
3/31/2008,13.04305941
4/30/2008,21.19764838
5/31/2008,19.53483343
6/30/2008,16.81304825
7/31/2008,14.20794931
8/31/2008,12.45831101
9/30/2008,12.39773533
10/31/2008,11.50726321
11/30/2008,15.08648969
12/31/2008,8.223502304
1/31/2009,6.829308756
2/28/2009,6.679638932
3/31/2009,11.29301249
4/30/2009,13.85549881
5/31/2009,10.21737928
6/30/2009,11.65877948
7/31/2009,18.26441157
8/31/2009,17.78559908
9/30/2009,11.64988095
10/31/2009,12.10672811
11/30/2009,15.32066667
12/31/2009,14.09784946
1/31/2010,11.45749215
2/28/2010,12.69976789
3/31/2010,12.44330658
4/30/2010,8.315291669
5/31/2010,8.577848114
6/30/2010,17.72406926
7/31/2010,13.28825819
8/31/2010,9.717080551
9/30/2010,29.32851505
10/31/2010,25.27774194
11/30/2010,9.397777778
12/31/2010,7.535069124
1/31/2011,8.14411
2/28/2011,8.101980256
3/31/2011,8.632717111
4/30/2011,8.396419396
5/31/2011,11.48104476
6/30/2011,11.77705619
7/31/2011,12.46977519
8/31/2011,8.988708333
9/30/2011,12.48267083
10/31/2011,10.62245269
11/30/2011,16.65632919
12/31/2011,14.39809576
1/31/2012,8.980547871
2/29/2012,8.772151527
3/31/2012,14.39763691
4/30/2012,11.59236429
5/31/2012,9.900452381
6/30/2012,11.32982966
7/31/2012,9.105599126
8/31/2012,7.504615639
9/30/2012,9.285376667
10/31/2012,9.645668729
11/30/2012,7.517468027
12/31/2012,6.777046083
1/31/2013,5.696305503
2/28/2013,6.500824102
3/31/2013,9.680584555
4/30/2013,7.18027963
5/31/2013,12.54946918
6/30/2013,17.0755761
7/31/2013,10.53327796
8/31/2013,9.844071429
9/30/2013,10.01416786
10/31/2013,17.93355939
11/30/2013,19.33897211
12/31/2013,21.50431891
1/31/2014,18.18259664
2/28/2014,23.29618946
3/31/2014,15.39534982
4/30/2014,12.44962532
5/31/2014,17.85767826
6/30/2014,21.29242871
7/31/2014,23.35304441
8/31/2014,21.65519508
9/30/2014,16.86614476
10/31/2014,9.532698618
11/30/2014,12.85261429
12/31/2014,12.88316221
1/31/2015,7.939079724
2/28/2015,11.15246684
3/31/2015,13.06911429
4/30/2015,7.155543492
5/31/2015,11.68777203
6/30/2015,20.83568245
7/31/2015,21.98632258
8/31/2015,14.22727561
9/30/2015,16.00710673
10/31/2015,16.78602179
11/30/2015,12.82900685
12/31/2015,8.397934654
1/31/2016,11.59453421
2/29/2016,10.44893148
3/31/2016,5.885087558
4/30/2016,7.052438745
5/31/2016,13.81185701
6/30/2016,28.81548926
7/31/2016,16.82255284
8/31/2016,16.16500084
9/30/2016,14.87293333
10/31/2016,15.73707834
11/30/2016,11.67079575
12/31/2016,9.869287731
1/31/2017,8.957361542
2/28/2017,9.96740017
3/31/2017,8.69109265
4/30/2017,11.49034654
5/31/2017,10.16093866
6/30/2017,9.151012698
7/31/2017,11.91054777
8/31/2017,20.31113259
9/30/2017,9.864636119
10/31/2017,6.070159335
11/30/2017,6.129421587
12/31/2017,5.463681385
1/31/2018,5.931992348
2/28/2018,4.803506633
3/31/2018,5.789552995
4/30/2018,6.592578571
5/31/2018,12.25104608
6/30/2018,18.83660317
7/31/2018,15.31229647
8/31/2018,14.8734977
9/30/2018,12.11728889
10/31/2018,20.85405223
11/30/2018,18.75642465
12/31/2018,12.14112085
1/31/2019,11.39090717
2/28/2019,10.30612115
3/31/2019,8.940683564
4/30/2019,9.815089885
5/31/2019,8.521570465
6/30/2019,10.71605126
7/31/2019,9.214563296
8/31/2019,11.75287503
9/30/2019,15.4554893
10/31/2019,12.42726896
11/30/2019,11.90766667
12/31/2019,11.20555607
1/31/2020,10.30492934
2/29/2020,11.36657635
3/31/2020,7.905235791
4/30/2020,12.88417143
5/31/2020,15.74945569
6/30/2020,28.67944103
7/31/2020,19.68199539
8/31/2020,20.5862765
9/30/2020,19.66012674
10/31/2020,23.13653508
11/30/2020,10.90911212
12/31/2020,9.481464181
1/31/2021,7.299281106
2/28/2021,8.274765658
3/31/2021,7.007915709
4/30/2021,10.25653439
5/31/2021,12.50192934
6/30/2021,13.06706825
7/31/2021,14.69118894
8/31/2021,13.23715515
9/30/2021,16.33521587
10/31/2021,20.46601382
11/30/2021,20.09547429
12/31/2021,19.52863779
1/31/2022,9.285770507
2/28/2022,14.80751939
3/31/2022,13.12197005
4/30/2022,9.590309524
5/31/2022,22.33239317
6/30/2022,13.45058182
7/31/2022,23.71340092
8/31/2022,15.09750691
9/30/2022,18.404
10/31/2022,10.81635023
11/30/2022,8.517880952
12/31/2022,5.775511521
1/31/2023,6.694184332
2/28/2023,6.446142857
3/31/2023,8.435294009
4/30/2023,12.27521667
5/31/2023,8.473062212
6/30/2023,39.16029524
7/31/2023,25.46331797
8/31/2023,14.81162212
9/30/2023,12.37570952
10/31/2023,11.6132765
11/30/2023,13.36905714
12/31/2023,12.43573113
1/31/2024,8.968862069
