date,LO_Avg_OP
1/1/2008,50.03795518
1/2/2008,49.81708683
1/3/2008,49.59621849
1/4/2008,49.37535014
1/5/2008,49.15448179
1/6/2008,48.93361345
1/7/2008,48.7127451
1/8/2008,48.49187675
1/9/2008,48.2710084
1/10/2008,48.05014006
1/11/2008,47.82927171
1/12/2008,47.60840336
1/13/2008,47.38753501
1/14/2008,47.16666667
1/15/2008,47.40645161
1/16/2008,47.64623656
1/17/2008,47.88602151
1/18/2008,48.12580645
1/19/2008,48.3655914
1/20/2008,48.60537634
1/21/2008,48.84516129
1/22/2008,49.08494624
1/23/2008,49.32473118
1/24/2008,49.56451613
1/25/2008,49.80430108
1/26/2008,50.04408602
1/27/2008,50.28387097
1/28/2008,50.52365591
1/29/2008,50.76344086
1/30/2008,51.00322581
1/31/2008,51.24301075
2/1/2008,51.4827957
2/2/2008,51.72258065
2/3/2008,51.96236559
2/4/2008,52.20215054
2/5/2008,52.44193548
2/6/2008,52.68172043
2/7/2008,52.92150538
2/8/2008,53.16129032
2/9/2008,53.40107527
2/10/2008,53.64086022
2/11/2008,53.88064516
2/12/2008,54.12043011
2/13/2008,54.36021505
2/14/2008,54.6
2/15/2008,55.20192308
2/16/2008,55.80384615
2/17/2008,56.40576923
2/18/2008,57.00769231
2/19/2008,57.60961538
2/20/2008,58.21153846
2/21/2008,58.81346154
2/22/2008,59.41538462
2/23/2008,60.01730769
2/24/2008,60.61923077
2/25/2008,61.22115385
2/26/2008,61.82307692
2/27/2008,62.425
2/28/2008,63.02692308
2/29/2008,63.62884615
3/1/2008,64.23076923
3/2/2008,64.83269231
3/3/2008,65.43461538
3/4/2008,66.03653846
3/5/2008,66.63846154
3/6/2008,67.24038462
3/7/2008,67.84230769
3/8/2008,68.44423077
3/9/2008,69.04615385
3/10/2008,69.64807692
3/11/2008,70.25
3/12/2008,69.9317868
3/13/2008,69.6135736
3/14/2008,69.2953604
3/15/2008,68.9771472
3/16/2008,68.658934
3/17/2008,68.3407208
3/18/2008,68.02250759
3/19/2008,67.70429439
3/20/2008,67.38608119
3/21/2008,67.06786799
3/22/2008,66.74965479
3/23/2008,66.43144159
3/24/2008,66.11322839
3/25/2008,65.79501519
3/26/2008,65.47680199
3/27/2008,65.15858879
3/28/2008,64.84037559
3/29/2008,64.52216239
3/30/2008,64.20394919
3/31/2008,63.88573598
4/1/2008,63.56752278
4/2/2008,63.24930958
4/3/2008,62.93109638
4/4/2008,62.61288318
4/5/2008,62.29466998
4/6/2008,61.97645678
4/7/2008,61.65824358
4/8/2008,61.34003038
4/9/2008,61.02181718
4/10/2008,60.70360398
4/11/2008,60.38539078
4/12/2008,60.06717758
