date,Mean_OP,LO_Avg_OP
1/1/2008,0.045620716,45.62071643
1/2/2008,0.045444275,45.44427549
1/3/2008,0.045267835,45.26783454
1/4/2008,0.045091394,45.09139359
1/5/2008,0.044914953,44.91495265
1/6/2008,0.044738512,44.7385117
1/7/2008,0.044562071,44.56207075
1/8/2008,0.04438563,44.38562981
1/9/2008,0.044209189,44.20918886
1/10/2008,0.044032748,44.03274791
1/11/2008,0.043856307,43.85630697
1/12/2008,0.043679866,43.67986602
1/13/2008,0.043503425,43.50342507
1/14/2008,0.043326984,43.32698413
1/15/2008,0.043545389,43.54538886
1/16/2008,0.043763794,43.76379359
1/17/2008,0.043982198,43.98219833
1/18/2008,0.044200603,44.20060306
1/19/2008,0.044419008,44.41900779
1/20/2008,0.044637413,44.63741253
1/21/2008,0.044855817,44.85581726
1/22/2008,0.045074222,45.07422199
1/23/2008,0.045292627,45.29262673
1/24/2008,0.045511031,45.51103146
1/25/2008,0.045729436,45.7294362
1/26/2008,0.045947841,45.94784093
1/27/2008,0.046166246,46.16624566
1/28/2008,0.04638465,46.3846504
1/29/2008,0.046603055,46.60305513
1/30/2008,0.04682146,46.82145986
1/31/2008,0.047039865,47.0398646
2/1/2008,0.047258269,47.25826933
2/2/2008,0.047476674,47.47667406
2/3/2008,0.047695079,47.6950788
2/4/2008,0.047913484,47.91348353
2/5/2008,0.048131888,48.13188826
2/6/2008,0.048350293,48.350293
2/7/2008,0.048568698,48.56869773
2/8/2008,0.048787102,48.78710246
2/9/2008,0.049005507,49.0055072
2/10/2008,0.049223912,49.22391193
2/11/2008,0.049442317,49.44231666
2/12/2008,0.049660721,49.6607214
2/13/2008,0.049879126,49.87912613
2/14/2008,0.050097531,50.09753086
2/15/2008,0.05062634,50.62633971
2/16/2008,0.051155149,51.15514856
2/17/2008,0.051683957,51.6839574
2/18/2008,0.052212766,52.21276625
2/19/2008,0.052741575,52.74157509
2/20/2008,0.053270384,53.27038394
2/21/2008,0.053799193,53.79919278
2/22/2008,0.054328002,54.32800163
2/23/2008,0.05485681,54.85681047
2/24/2008,0.055385619,55.38561932
2/25/2008,0.055914428,55.91442816
2/26/2008,0.056443237,56.44323701
2/27/2008,0.056972046,56.97204586
2/28/2008,0.057500855,57.5008547
2/29/2008,0.058029664,58.02966355
3/1/2008,0.058558472,58.55847239
3/2/2008,0.059087281,59.08728124
3/3/2008,0.05961609,59.61609008
3/4/2008,0.060144899,60.14489893
3/5/2008,0.060673708,60.67370777
3/6/2008,0.061202517,61.20251662
3/7/2008,0.061731325,61.73132546
3/8/2008,0.062260134,62.26013431
3/9/2008,0.062788943,62.78894316
3/10/2008,0.063317752,63.317752
3/11/2008,0.063846561,63.84656085
3/12/2008,0.063586681,63.58668145
3/13/2008,0.063326802,63.32680206
3/14/2008,0.063066923,63.06692267
3/15/2008,0.062807043,62.80704328
3/16/2008,0.062547164,62.54716388
3/17/2008,0.062287284,62.28728449
3/18/2008,0.062027405,62.0274051
3/19/2008,0.061767526,61.76752571
3/20/2008,0.061507646,61.50764631
3/21/2008,0.061247767,61.24776692
3/22/2008,0.060987888,60.98788753
3/23/2008,0.060728008,60.72800814
3/24/2008,0.060468129,60.46812874
3/25/2008,0.060208249,60.20824935
3/26/2008,0.05994837,59.94836996
3/27/2008,0.059688491,59.68849057
3/28/2008,0.059428611,59.42861117
3/29/2008,0.059168732,59.16873178
3/30/2008,0.058908852,58.90885239
3/31/2008,0.058648973,58.648973
4/1/2008,0.058389094,58.3890936
4/2/2008,0.058129214,58.12921421
4/3/2008,0.057869335,57.86933482
4/4/2008,0.057609455,57.60945543
4/5/2008,0.057349576,57.34957603
4/6/2008,0.057089697,57.08969664
4/7/2008,0.056829817,56.82981725
4/8/2008,0.056569938,56.56993786
4/9/2008,0.056310058,56.31005846
4/10/2008,0.056050179,56.05017907
4/11/2008,0.0557903,55.79029968
4/12/2008,0.05553042,55.53042028
4/13/2008,0.055270541,55.27054089
4/14/2008,0.055010661,55.0106615
4/15/2008,0.05517572,55.17571965
4/16/2008,0.055340778,55.3407778
4/17/2008,0.055505836,55.50583595
4/18/2008,0.055670894,55.6708941
4/19/2008,0.055835952,55.83595225
4/20/2008,0.05600101,56.0010104
4/21/2008,0.056166069,56.16606855
4/22/2008,0.056331127,56.3311267
