Date,SLTRIB_cfs
1/31/1991,34519.2
2/28/1991,22124.1
3/31/1991,44565.6
4/30/1991,73089.8
5/31/1991,43826.7
6/30/1991,115652.3
7/31/1991,158426.6
8/31/1991,109100.4
9/30/1991,97507.1
10/31/1991,79672.8
11/30/1991,5428
12/31/1991,8395.8
1/31/1992,6464.8
2/29/1992,14280.8
3/31/1992,4483.9
4/30/1992,9645.3
5/31/1992,2853
6/30/1992,39309.8
7/31/1992,96559.6
8/31/1992,156202.5
9/30/1992,91317.8
10/31/1992,49156
11/30/1992,66972.8
12/31/1992,21715.4
1/31/1993,122679.4
2/28/1993,50047.4
3/31/1993,56535.3
4/30/1993,38597.5
5/31/1993,8436.4
6/30/1993,37251.5
7/31/1993,90609.7
8/31/1993,30089.1
9/30/1993,52702.5
10/31/1993,134449.6
11/30/1993,25164.9
12/31/1993,10799.8
1/31/1994,32978.3
2/28/1994,102594.6
3/31/1994,33335.9
4/30/1994,37149.8
5/31/1994,44561.4
6/30/1994,143423.5
7/31/1994,83198.8
8/31/1994,87994.9
9/30/1994,142781.8
10/31/1994,78611.9
11/30/1994,65527.1
12/31/1994,102271.3
1/31/1995,42139.6
2/28/1995,15591.5
3/31/1995,27466.2
4/30/1995,8245.8
5/31/1995,6277.2
6/30/1995,18952.6
7/31/1995,42851.2
8/31/1995,2680.355625
9/30/1995,1424.894
10/31/1995,3415.548387
11/30/1995,106.1176667
12/31/1995,15.0216129
1/31/1996,13.4083871
2/29/1996,10.89551724
3/31/1996,639.6903226
4/30/1996,386.8246667
5/31/1996,212.0354839
6/30/1996,725.0473333
7/31/1996,429.7970968
8/31/1996,173.736129
9/30/1996,198.9283333
10/31/1996,633.6341935
11/30/1996,81.73233333
12/31/1996,18.96225806
1/31/1997,62.00612903
2/28/1997,41.47321429
3/31/1997,12.09258065
4/30/1997,472.28
5/31/1997,157.9280645
6/30/1997,572.1383333
7/31/1997,935.9458065
8/31/1997,1224.640323
9/30/1997,520.103
10/31/1997,106.4125806
11/30/1997,98.33966667
12/31/1997,344.5409677
1/31/1998,531.7019355
2/28/1998,1204.032143
3/31/1998,710.643871
4/30/1998,14.845
5/31/1998,195.5306452
6/30/1998,27.56433333
7/31/1998,121.0490323
8/31/1998,556.33
9/30/1998,1138.367333
10/31/1998,234.8390323
11/30/1998,962.6656667
12/31/1998,22.56
1/31/1999,16.46580645
2/28/1999,55.04714286
3/31/1999,1.286451613
4/30/1999,0
5/31/1999,0.227741935
6/30/1999,1354.062
7/31/1999,811.5858065
8/31/1999,641.0396774
9/30/1999,913.1563333
10/31/1999,2550.423226
11/30/1999,201.9753333
12/31/1999,9.970645161
