Date,SLTRIB_cfs
1/31/2000,3.679032258
2/29/2000,4.343103448
3/31/2000,1.666451613
4/30/2000,27.049
5/31/2000,0
6/30/2000,6.486666667
7/31/2000,351.6374194
8/31/2000,413.7348387
9/30/2000,259.8613333
10/31/2000,492.1722581
11/30/2000,11.685
12/31/2000,2.986129032
1/31/2001,0.399677419
2/28/2001,0.144642857
3/31/2001,0
4/30/2001,0.031
5/31/2001,0
6/30/2001,204.8223333
7/31/2001,1256.711613
8/31/2001,1114.987742
9/30/2001,1508.201333
10/31/2001,697.9670968
11/30/2001,736.7713333
12/31/2001,218.6664516
1/31/2002,34.30387097
2/28/2002,174.3646429
3/31/2002,52.19096774
4/30/2002,1.988
5/31/2002,18.98322581
6/30/2002,829.407
7/31/2002,1683.605484
8/31/2002,767.2332258
9/30/2002,974.3613333
10/31/2002,55.44645161
11/30/2002,6.321333333
12/31/2002,151.0487097
1/31/2003,232.223871
2/28/2003,10.84
3/31/2003,128.4574194
4/30/2003,54.39366667
5/31/2003,153.7835484
6/30/2003,714.123
7/31/2003,969.8116129
8/31/2003,1792.674839
9/30/2003,742.0276667
10/31/2003,302.7870968
11/30/2003,145.6273333
12/31/2003,98.16516129
1/31/2004,31.19225806
2/29/2004,164.3706897
3/31/2004,38.37709677
4/30/2004,0.112666667
5/31/2004,0
6/30/2004,209.5943333
7/31/2004,105.7767742
8/31/2004,1189.176129
9/30/2004,4464.521333
10/31/2004,1043.926452
11/30/2004,31.22966667
12/31/2004,5.576129032
1/31/2005,57.14322581
2/28/2005,18.70892857
3/31/2005,757.5729032
4/30/2005,200.6493333
5/31/2005,113.5296774
6/30/2005,1864.732
7/31/2005,1078.627742
8/31/2005,877.3325806
9/30/2005,685.818
10/31/2005,2105.859032
11/30/2005,2199.736667
12/31/2005,411.1722581
1/31/2006,41.95709677
2/28/2006,316.0746429
3/31/2006,14.75096774
4/30/2006,3.735666667
5/31/2006,0
6/30/2006,0.005333333
7/31/2006,324.5851613
8/31/2006,411.7435484
9/30/2006,683.981
10/31/2006,14.06451613
11/30/2006,0
12/31/2006,1.350967742
1/31/2007,2.828709677
2/28/2007,1.113571429
3/31/2007,0
4/30/2007,0
5/31/2007,0
6/30/2007,55.069
7/31/2007,413.4416129
8/31/2007,550.0887097
9/30/2007,902.502
10/31/2007,1169.74
11/30/2007,324.4153333
12/31/2007,92.47741935
