,Date,Flow_In_cms,Flow_cmd
6219,2008-01-01,5.731046585,495162.4249
6220,2008-01-02,7.903798226,682888.1667
6221,2008-01-03,5.548686093,479406.4784
6222,2008-01-04,0.877822245,75843.84197000001
6223,2008-01-05,3.193007623,275875.8586
6224,2008-01-06,4.270463638,368968.0583
6225,2008-01-07,4.0399645060000005,349052.9333
6226,2008-01-08,4.562127157,394167.7864
6227,2008-01-09,5.686022799,491272.3698
6228,2008-01-10,5.903496181,510062.07
6229,2008-01-11,5.077493766,438695.4614
6230,2008-01-12,6.934512566,599141.8857
6231,2008-01-13,4.3460696180000005,375500.415
6232,2008-01-14,5.120535372,442414.2561
6233,2008-01-15,4.5479687339999995,392944.4986
6234,2008-01-16,4.771671823,412272.4455
6235,2008-01-17,4.488503355,387806.6899
6236,2008-01-18,3.9125386960000004,338043.3433
6237,2008-01-19,6.818413494,589110.9259
6238,2008-01-20,7.439968277999999,642813.2592
6239,2008-01-21,10.27391829,887666.54
6240,2008-01-22,6.733179787,581746.7336
6241,2008-01-23,5.179151244,447478.6675
6242,2008-01-24,6.9628294120000005,601588.4612
6243,2008-01-25,5.868100123,507003.8506
6244,2008-01-26,4.512289506,389861.8133
6245,2008-01-27,4.255738877,367695.839
6246,2008-01-28,4.077625912,352306.8788
6247,2008-01-29,3.349599785,289405.4214
6248,2008-01-30,2.525296381,218185.6073
6249,2008-01-31,4.332194363,374301.593
6250,2008-02-01,4.357396357,376479.0452
6251,2008-02-02,5.07296307,438304.0092
6252,2008-02-03,3.423506755,295790.9836
6253,2008-02-04,4.606301439,397984.4443
6254,2008-02-05,4.238748769,366227.8936
6255,2008-02-06,3.552914743,306971.8338
6256,2008-02-07,4.595824205,397079.2113
6257,2008-02-08,0.699426111,60430.415989999994
6258,2008-02-09,3.7709544619999997,325810.4655
6259,2008-02-10,3.866099068,334030.9595
6260,2008-02-11,7.903515057000001,682863.7009
6261,2008-02-12,9.98536962,862735.9352
6262,2008-02-13,45.06994257,3894043.038
6263,2008-02-14,66.26850025,5725598.421
6264,2008-02-15,31.33089176,2706989.048
6265,2008-02-16,11.90496865,1028589.292
6266,2008-02-17,21.65814013,1871263.3069999998
6267,2008-02-18,25.72528881,2222664.953
6268,2008-02-19,25.09580531,2168277.578
6269,2008-02-20,22.87180018,1976123.535
6270,2008-02-21,21.90477987,1892572.98
6271,2008-02-22,28.1472287,2431920.56
6272,2008-02-23,25.97136221,2243925.695
6273,2008-02-24,24.85992598,2147897.605
6274,2008-02-25,26.19789698,2263498.299
6275,2008-02-26,23.22377858,2006534.469
6276,2008-02-27,19.75609754,1706926.8269999998
6277,2008-02-28,21.1708072,1829157.7419999999
6278,2008-02-29,23.00403985,1987549.043
6279,2008-03-01,22.25024539,1922421.2019999998
6280,2008-03-02,23.29768555,2012920.031
6281,2008-03-03,19.39873894,1676051.045
6282,2008-03-04,18.29268291,1580487.804
6283,2008-03-05,22.2043721,1918457.75
6284,2008-03-06,30.42928337,2629090.083
6285,2008-03-07,44.50417197,3845160.458
6286,2008-03-08,48.742354399999996,4211339.42
6287,2008-03-09,35.30034732,3049950.008
6288,2008-03-10,37.56824356,3245896.2430000002
6289,2008-03-11,34.58761229,2988369.702
6290,2008-03-12,51.06886651,4412350.067
6291,2008-03-13,37.63592083,3251743.56
6292,2008-03-14,40.93341761,3536647.2819999997
6293,2008-03-15,42.8705731,3704017.5160000003
6294,2008-03-16,49.31322203,4260662.383
6295,2008-03-17,48.32354825,4175154.5689999997
6296,2008-03-18,45.32082983,3915719.6969999997
6297,2008-03-19,47.13905455,4072814.313
6298,2008-03-20,47.66008453,4117831.3030000003
6299,2008-03-21,52.42977417,4529932.488
6300,2008-03-22,53.13203196,4590607.562
6301,2008-03-23,59.39855013,5132034.731000001
6302,2008-03-24,52.80497239,4562349.615
6303,2008-03-25,49.63801626,4288724.605
6304,2008-03-26,50.34395525,4349717.734
6305,2008-03-27,58.75235968,5076203.876
6306,2008-03-28,55.84733438,4825209.691000001
6307,2008-03-29,56.59065160000001,4889432.298
6308,2008-03-30,56.69400809,4898362.299
6309,2008-03-31,56.14862564,4851241.255
6310,2008-04-01,56.19449893,4855204.7069999995
6311,2008-04-02,73.79964879,6376289.656
6312,2008-04-03,71.11945927,6144721.281
6313,2008-04-04,67.28026121,5813014.568
6314,2008-04-05,63.55404736,5491069.692000001
6315,2008-04-06,70.39256581,6081917.686000001
6316,2008-04-07,130.9713621,11315925.68
6317,2008-04-08,109.45310719999999,9456748.461000001
6318,2008-04-09,78.76783953,6805541.335
6319,2008-04-10,74.44583924,6432120.51
6320,2008-04-11,85.19208253,7360595.931
6321,2008-04-12,71.99048548,6219977.945
6322,2008-04-13,72.96798301,6304433.732000001
6323,2008-04-14,68.88695908,5951833.2639999995
6324,2008-04-15,66.16061309,5716276.971
6325,2008-04-16,55.64147092,4807423.087
6326,2008-04-17,56.38563765,4871719.093
6327,2008-04-18,57.36058667,4955954.688
6328,2008-04-19,51.73233024,4469673.333000001
6329,2008-04-20,42.32575697,3656945.402
6330,2008-04-21,36.14617153,3123029.22
6331,2008-04-22,35.31733743,3051417.954
6332,2008-04-23,30.97155098,2675942.004
6333,2008-04-24,28.59095368,2470258.398
6334,2008-04-25,27.24590347,2354046.06
6335,2008-04-26,23.42822621,2024198.745
6336,2008-04-27,23.29683605,2012846.634
6337,2008-04-28,13.32817336,1151554.178
6338,2008-04-29,18.6681643,1612929.396
6339,2008-04-30,16.75790982,1447883.409
6340,2008-05-01,15.61872309,1349457.675
6341,2008-05-02,15.60088347,1347916.332
6342,2008-05-03,14.94166728,1290960.053
6343,2008-05-04,14.36173826,1240854.186
6344,2008-05-05,12.89209393,1113876.915
6345,2008-05-06,14.41950463,1245845.2
6346,2008-05-07,20.18962847,1744383.9
6347,2008-05-08,13.21717133,1141963.603
6348,2008-05-09,10.1184588,874234.8402
6349,2008-05-10,15.52641017,1341481.8390000002
6350,2008-05-11,22.565411899999997,1949651.5880000002
6351,2008-05-12,11.03847315,953724.0797
6352,2008-05-13,12.62733141,1091001.4340000001
6353,2008-05-14,13.638526,1178368.647
6354,2008-05-15,7.399475187999999,639314.6562
6355,2008-05-16,8.160348856,705054.1412
6356,2008-05-17,7.76985954,671315.8643
6357,2008-05-18,10.2396549,884706.1835
6358,2008-05-19,10.7640829,930016.7625
6359,2008-05-20,10.33989654,893367.061
6360,2008-05-21,11.05319791,954996.2991
6361,2008-05-22,6.894019475,595643.2826
6362,2008-05-23,3.2646492460000003,282065.6949
6363,2008-05-24,5.519519741,476886.5056
6364,2008-05-25,4.84387978,418511.213
6365,2008-05-26,6.566110392000001,567311.9379
6366,2008-05-27,1.645775124,142194.9707
6367,2008-05-28,5.027089779,434340.5569
6368,2008-05-29,2.794306423,241428.0749
6369,2008-05-30,1.34221853,115967.681
6370,2008-05-31,1.4922978169999999,128934.5314
6371,2008-06-01,5.814864452,502404.2887
6372,2008-06-02,6.592445059,569587.2531
6373,2008-06-03,0.9947708209999999,85948.19893
6374,2008-06-04,0.792871705,68504.11531000001
6375,2008-06-05,1.964339649,169718.9457
6376,2008-06-06,6.544589587999999,565452.5404
6377,2008-06-07,1.08170354,93459.18586
6378,2008-06-08,1.5715849869999998,135784.9429
6379,2008-06-09,1.070376802,92480.55569
6380,2008-06-10,1.802367286,155724.5335
6381,2008-06-11,10.07570036,870540.5111
6382,2008-06-12,4.141055648,357787.208
6383,2008-06-13,1.389507663,120053.4621
6384,2008-06-14,5.951068482999999,514172.3169
6385,2008-06-15,8.28890734,716161.5942
6386,2008-06-16,2.899078757,250480.4046
6387,2008-06-17,12.47215509,1077594.2
6388,2008-06-18,1.551763194,134072.34
6389,2008-06-19,11.28426337,974960.3553
6390,2008-06-20,11.68154873,1009285.81
6391,2008-06-21,13.81975382,1194026.73
6392,2008-06-22,9.164181067000001,791785.2442
6393,2008-06-23,28.60143091,2471163.631
6394,2008-06-24,21.02271009,1816362.1519999998
6395,2008-06-25,23.102299300000002,1996038.66
6396,2008-06-26,33.84174654,2923926.901
6397,2008-06-27,43.15289205,3728409.873
6398,2008-06-28,44.44980362,3840463.0330000003
6399,2008-06-29,39.89277349,3446735.63
6400,2008-06-30,51.83172235,4478260.811000001
6401,2008-07-01,47.99167479,4146480.702
6402,2008-07-02,62.23703081,5377279.462
6403,2008-07-03,102.9906364,8898390.989
6404,2008-07-04,98.04028532,8470680.652
6405,2008-07-05,78.60077014,6791106.54
6406,2008-07-06,68.01989723,5876919.121
6407,2008-07-07,106.28077090000001,9182658.602
6408,2008-07-08,97.92220406,8460478.431
6409,2008-07-09,86.23923949,7451070.292
6410,2008-07-10,64.47887556,5570974.847999999
6411,2008-07-11,56.53033672,4884221.093
6412,2008-07-12,56.6365249,4893395.752
6413,2008-07-13,102.15104190000001,8825850.023
6414,2008-07-14,105.3117684,9098936.786
6415,2008-07-15,121.8909989,10531382.3
6416,2008-07-16,146.97689330000003,12698803.58
6417,2008-07-17,158.8829946,13727490.73
6418,2008-07-18,155.48525619999998,13433926.13
6419,2008-07-19,136.3439174,11780114.46
6420,2008-07-20,133.8429735,11564032.91
6421,2008-07-21,137.2806387,11861047.18
6422,2008-07-22,151.0981271,13054878.18
6423,2008-07-23,201.0626366,17371811.8
6424,2008-07-24,223.0812502,19274220.02
6425,2008-07-25,221.47879989999998,19135768.31
6426,2008-07-26,213.1590272,18416939.95
6427,2008-07-27,204.9151436,17704668.41
6428,2008-07-28,198.1179678,17117392.41
6429,2008-07-29,180.0257681,15554226.37
6430,2008-07-30,190.36821319999999,16447813.62
6431,2008-07-31,152.6348824,13187653.84
6432,2008-08-01,156.4568072,13517868.14
6433,2008-08-02,160.05191399999998,13828485.37
6434,2008-08-03,167.76117549999998,14494565.57
6435,2008-08-04,162.0697725,14002828.35
6436,2008-08-05,177.7094501,15354096.49
6437,2008-08-06,158.1787546,13666644.4
6438,2008-08-07,138.32864519999998,11951594.94
6439,2008-08-08,160.04993190000002,13828314.11
6440,2008-08-09,140.47761069999999,12137265.56
6441,2008-08-10,143.1391111,12367219.2
6442,2008-08-11,112.0055877,9677282.78
6443,2008-08-12,90.06399597,7781529.252
6444,2008-08-13,83.42567763,7207978.547
6445,2008-08-14,69.55183865,6009278.859
6446,2008-08-15,84.15710178,7271173.594
6447,2008-08-16,69.35673557,5992421.953
6448,2008-08-17,74.46339568,6433637.387
